	194. Dear Zindagi (2016) 	7.4 	
	195. Once Upon a Time in Mumbaai (2010) 	7.4 	
	196. Kaminey (2009) 	7.4 	
	197. Raid (2018) 	7.4 	
	198. Life in a Metro (2007) 	7.4 	
	199. Khiladi (1992) 	7.4 	
	200. Golmaal: Fun Unlimited (2006) 	7.4 	
	201. Monsoon Wedding (2001) 	7.4 	
	202. Khaleja (2010) 	7.4 	
	203. Ghulam (1998) 	7.3 	
	204. Page 3 (2005) 	7.3 	
	205. Maine Pyar Kiya (1989) 	7.3 	
	206. Ishqiya (2010) 	7.3 	
	207. Lootera (2013) 	7.3 	
	208. Ghajini (2008) 	7.3 	
	209. Raman Raghav 2.0 (2016) 	7.3 	
	210. Srimanthudu (2015) 	7.3 	
	211. Bhool Bhulaiyaa (2007) 	7.3 	
	212. Parineeta (2005) 	7.3 	
	213. Mardaani (2014) 	7.3 	
	214. Holiday (2014) 	7.3 	
	215. Shaitan (2011) 	7.3 	
	216. Dookudu (2011) 	7.3 	
	217. Taxi No. 9 2 11: Nau Do Gyarah (2006) 	7.3 	
	218. Ayan (2009) 	7.3 	
	219. Pyaar Ka Punchnama 2 (2015) 	7.2 	
	220. Te3n (2016) 	7.2 	
	221. Shanghai (2012) 	7.2 	
	222. No One Killed Jessica (2011) 	7.2 	
	223. Namastey London (2007) 	7.2 	
	224. Band Baaja Baaraat (2010) 	7.2 	
	225. Tere Bin Laden (2010) 	7.2 	
	226. D-Day (2013) 	7.2 	
	227. Nannaku Prematho (2016) 	7.2 	
	228. Toilet - Ek Prem Katha (2017) 	7.2 	
	229. Talaash (2012) 	7.2 	
	230. Nanban (2012) 	7.2 	
	231. Paa (2009) 	7.2 	
	232. NH10 (2015) 	7.2 	
	233. Jolly LLB 2 (2017) 	7.2 	
	234. Ittefaq (2017) 	7.2 	
	235. Fanaa (2006) 	7.2 	
	236. Gadar: Ek Prem Katha (2001) 	7.2 	
	237. Dhamaal (2007) 	7.2 	
	238. No Smoking (2007) 	7.2 	
	239. Don (2006) 	7.2 	
	240. i (2015) 	7.2 	
	241. Mohra (1994) 	7.2 	
	242. Billa (2007) 	7.2 	
	243. Bajirao Mastani (2015) 	7.2 	
	244. Sonu Ke Titu Ki Sweety (2018) 	7.2 	
	245. Gabbar is Back (2015) 	7.1 	
	246. Raajneeti (2010) 	7.1 	
	247. Shootout at Lokhandwala (2007) 	7.1 	
	248. Yennai Arindhaal (2015) 	7.1 	
	249. Dasavatharam (2008) 	7.1 	
	
